date,total_active_pow
2024-04-23,381.42600173503155
2024-04-24,1531.5780025981364
2024-04-25,1140.5180033724753
2024-04-26,1424.6879992131142
2024-04-27,852.6800046991553
2024-04-28,826.3460047002878
2024-04-29,1884.672007053159
2024-04-30,1546.0500041218472
2024-05-01,841.1880006231364
2024-05-02,1262.3820023080332
2024-05-03,1611.5960038371848
2024-05-04,876.8720023147758
2024-05-05,925.9780016308647
2024-05-06,1698.6920031255574
2024-05-07,1496.9319995474068
2024-05-08,1633.5500040585173
2024-05-09,1557.0880024963988
2024-05-10,1443.384003266692
2024-05-11,814.602005217224
2024-05-12,600.4200010728088
2024-05-13,1471.8539975266901
2024-05-14,3002.5899989493187
2024-05-15,3055.666007741354
2024-05-16,1224.4160027951
2024-05-17,1105.5600012349894
2024-05-18,808.9220034144817
2024-05-19,736.5040038200093
2024-05-20,1154.6380013157611
2024-05-21,1464.7020015325395
2024-05-22,1486.052002387121
2024-05-23,1565.0659994781015
2024-05-24,1168.0519989514721
2024-05-25,995.0960012767462
2024-05-26,780.5600000619886
2024-05-27,1283.3820010665802
2024-05-28,2013.8000012300906
2024-05-29,345.5600015316158
2024-05-30,2479.192002975149
2024-05-31,6350.652555345558
2024-06-01,2376.0980015713712
2024-06-02,2391.214561126194
2024-06-03,3307.3940075458954
2024-06-04,5573.382003760896
2024-06-05,3640.8740090420465
2024-06-06,6517.494009996764
2024-06-07,6639.972007778473
2024-06-08,4082.726003800519
2024-06-09,3116.828008031472
2024-06-10,11170.861997497734
2024-06-11,10701.208001387306
2024-06-12,8980.821997656254
2024-06-13,10114.48799822852
2024-06-14,7281.095998978242
2024-06-15,3385.0799983292814
2024-06-16,1854.6499980706717
2024-06-18,8703.180002138019
2024-06-20,5510.839999564923
2024-06-21,12239.842002421618
2024-06-22,1488.6979980450124
2024-06-24,9026.327998954803
2024-06-25,7286.5840040668845
2024-06-26,5189.212002088316
2024-06-27,5191.955947585404
2024-06-28,1789.7043969854712
2024-06-29,1217.9180408176035
2024-06-30,1206.848025565967
2024-07-01,2003.2597049623728
2024-07-02,1653.759154709056
2024-07-03,1716.1100487187505
2024-07-04,1665.910257840529
2024-07-05,1619.6073578679934
2024-07-06,1208.8059114664793
2024-07-07,1206.7313589025289
2024-07-08,1870.8309492878616
2024-07-09,1758.1640320103616
2024-07-10,1755.9726030433085
2024-07-11,1774.8073090722319
2024-07-12,1769.621152633801
2024-07-13,1233.3819126747549
2024-07-14,1234.7608083654195
2024-07-15,1956.630399754271
2024-07-16,1857.2551556769758
2024-07-17,1286.9964638147503
2024-07-18,1492.3655957262963
